ZONE,,Next Day - Premium Service,48h - Economy Service
1,"B, CV CW, DE, DY, NN, LE, M, MK, NG, SK, ST, TF, WA, WS, WV, WR",£67.73,£60.82
2,"AL, BB, BD, BL, BS, CB, CH, DN, FY, GL, HD, HP, HR, HU, HX, L, LN, LS, LU, OL, OX, PE, PR, S, SG, SL, SN, WF, WN",£69.54,£63.21
3,"DH, DL, NP, RG, SL, SO, SP, SR, SY (1-6), TS, YO",£74.60,£66.79
4,"CF, EN, HG, IP, WD",£76.17,£71.77
5,"BA, BH, CM, CO, DT, GU, ME, NR, RH, SS, TA, TN",£80.41,£73.30
6,"BN, CT, HA, IG, LA, LD, LL,   PO1-29, RM, UB ",£82.47,£75.98
7,"CA, BR, CR, DA, EX,  KT, NE, SA, SM, SY7+, TW, PL, TQ",£85.76,£77.53
8,"E(3-18, 20), N(2- 22), NW(2-11), SE(2-10, 12-15, 18-28), SW(2, 4-6, 8-20), W(3-14)",£87.91,£78.53
9,"E(1-2, 1W, 77, 98), EC, N(1, 1C,1P), NW(1), SE(1, 11, 16-17), SW(1, 3, 7), W(1-2), WC",£93.13,£86.34
10,"DG (1-7, 10-16), EH, KA, ML, PA(1-19), TD, TR",£106.61,£88.11
11,"FK(1-7, 10), KY(1-13, 99), G(1-15, 20-23, 31-34, 40-46, 51-53, 58, 60-62, 64-79, 81-82), KY (1-14, 99)",£100.21,£88.19
12,"DD, DG(8-9), FK(8-9, 11-21), G(63, 83-84),KA(19,26), KY(14-16), PH(1-14) PO (30+)",£116.54,£99.49
13,"AB, IV (1-40), PH (15-50) KW(1-3, 5-14), PA(21-38), PH(30-41, 49-50)",£130.42,£115.55
14,"HS(1-9), IV(41-49, 51, 55-56), KA(27-28), PA(20, 41-49, 60-78, 80), PH(42-44), KW(15-17), ZE(1-3)",£175.23,£174.68
