Destination,Service,0.25,0.50,0.75,1.00,1.25,1.50,1.75,2.00,2.50,3.00,3.50,4.00,4.50,5.00,5.50,6.00,6.50,7.00,7.50,8.00,8.50,9.00,9.50,10.00,15.00,20.00,25.00,30.00
Austria,DDP Courier, £ 9.54 , £ 9.54 , £ 10.05 , £ 10.05 , £ 10.05 , £ 10.05 , £ 10.05 , £ 10.05 , £ 10.41 , £ 10.41 , £ 10.41 , £ 10.41 , £ 10.41 , £ 10.41 , £ 11.64 , £ 11.64 , £ 11.64 , £ 11.64 , £ 11.64 , £ 11.64 , £ 11.64 , £ 11.64 , £ 11.64 , £ 11.64 , £ 12.63 , £ 12.63 , £ 14.91 , £ 14.91 
Belgium,DDP Courier, £ 7.36 , £ 7.36 , £ 7.72 , £ 7.72 , £ 7.79 , £ 7.79 , £ 7.88 , £ 7.88 , £ 8.23 , £ 8.23 , £ 8.49 , £ 8.49 , £ 8.84 , £ 8.84 , £ 10.24 , £ 10.24 , £ 10.24 , £ 10.24 , £ 10.24 , £ 10.24 , £ 10.24 , £ 10.24 , £ 10.24 , £ 10.24 , £ 12.94 , £ 14.24 , £ 15.87 , £ 15.87 
Bulgaria,DDP Courier, £ 10.14 , £ 10.14 , £ 10.81 , £ 10.81 , £ 11.20 , £ 11.20 , £ 11.20 , £ 11.20 , £ 13.38 , £ 13.38 , £ 13.38 , £ 13.38 , £ 13.38 , £ 13.38 , £ 18.05 , £ 18.05 , £ 18.05 , £ 18.05 , £ 18.05 , £ 18.05 , £ 18.05 , £ 18.05 , £ 18.05 , £ 18.05 , £ 24.84 , £ 24.84 , £ 27.92 , £ 27.92 
Croatia,DDP Courier, £ 10.05 , £ 10.05 , £ 10.72 , £ 10.72 , £ 11.51 , £ 11.51 , £ 11.51 , £ 11.51 , £ 12.29 , £ 12.29 , £ 12.29 , £ 12.29 , £ 12.29 , £ 12.29 , £ 16.48 , £ 16.48 , £ 16.48 , £ 16.48 , £ 16.48 , £ 16.48 , £ 16.48 , £ 16.48 , £ 16.48 , £ 16.48 , £ 23.66 , £ 23.66 , £ 26.75 , £ 26.75 
Cyprus,DDP Courier, £ 8.88 , £ 10.97 , £ 13.29 , £ 15.38 , £ 17.45 , £ 19.53 , £ 21.60 , £ 23.69 , £ 29.42 , £ 31.56 , £ 33.71 , £ 35.84 , £ 37.99 , £ 40.13 , £ 42.87 , £ 45.01 , £ 47.16 , £ 49.29 , £ 51.44 , £ 53.58 , £ 55.73 , £ 57.86 , £ 60.01 , £ 62.15 , £ 84.05 , £ 105.46 , £ 128.00 , £ 149.41 
Czechia,DDP Courier, £ 7.57 , £ 7.57 , £ 8.24 , £ 8.24 , £ 8.24 , £ 8.24 , £ 8.24 , £ 8.24 , £ 8.75 , £ 8.75 , £ 8.75 , £ 8.75 , £ 8.75 , £ 8.75 , £ 12.79 , £ 12.79 , £ 12.79 , £ 12.79 , £ 12.79 , £ 12.79 , £ 12.79 , £ 12.79 , £ 12.79 , £ 12.79 , £ 19.77 , £ 19.77 , £ 22.86 , £ 22.86 
Denmark,DDP Shop, £ 7.61 , £ 7.61 , £ 8.46 , £ 8.46 , £ 8.46 , £ 8.60 , £ 8.60 , £ 8.60 , £ 9.23 , £ 9.32 , £ 9.32 , £ 9.32 , £ 9.32 , £ 9.51 , £ 11.58 , £ 11.58 , £ 11.58 , £ 11.58 , £ 11.76 , £ 11.76 , £ 11.76 , £ 11.76 , £ 11.76 , £ 11.96 , £ 13.99 , £ 13.99 , £ 17.87 , £ 17.87 
Estonia,DDP Courier, £ 11.36 , £ 11.36 , £ 12.57 , £ 12.57 , £ 12.57 , £ 12.57 , £ 12.57 , £ 12.57 , £ 13.47 , £ 13.47 , £ 13.47 , £ 13.47 , £ 13.47 , £ 13.47 , £ 20.23 , £ 20.23 , £ 20.23 , £ 20.23 , £ 20.23 , £ 20.23 , £ 20.23 , £ 20.23 , £ 20.23 , £ 20.23 , £ 22.62 , £ 22.62 , £ 28.19 , £ 28.19 
Finland,DDP Shop, £ 11.15 , £ 11.15 , £ 11.96 , £ 11.96 , £ 11.96 , £ 11.96 , £ 11.96 , £ 11.96 , £ 12.55 , £ 12.55 , £ 12.55 , £ 12.55 , £ 12.55 , £ 12.55 , £ 14.54 , £ 14.54 , £ 14.54 , £ 14.54 , £ 14.54 , £ 14.54 , £ 14.54 , £ 14.54 , £ 14.54 , £ 14.54 , £ 16.12 , £ 16.12 , £ 19.83 , £ 19.83 
France,DDP Courier, £ 6.73 , £ 6.75 , £ 7.48 , £ 7.94 , £ 8.14 , £ 8.14 , £ 8.82 , £ 8.82 , £ 9.14 , £ 9.14 , £ 9.66 , £ 9.66 , £ 10.15 , £ 10.15 , £ 11.55 , £ 11.55 , £ 12.00 , £ 12.00 , £ 12.70 , £ 12.70 , £ 13.36 , £ 13.36 , £ 13.63 , £ 13.63 , £ 14.59 , £ 16.63 , £ 18.29 , £ 18.29 
